date,symbolid,marketValue,vol,basicVol,fPrice,fPriceDev,open,max,min,close,pe,realBuyersCount,realSellersCount,legalBuyersCount,legalSellersCount,realBuyersVol,realSellersVol,legalBuyersVol,legalSellersVol
13991202,فاراك,5544149800,1046066,9259259,5390,0,5300,5300,5300,5300,69,141,3,1,0,996066,1046066,50000,0
13991203,فاراك,2628907820,496958,9259259,5380,0,5290,5290,5290,5290,69,65,3,1,0,396958,496958,100000,0
13991204,فاراك,2304060000,436375,9259259,5380,0,#N/A,#N/A,#N/A,#N/A,69,53,5,0,0,436375,436375,0,0
13991205,فاراك,8908320960,1687182,9259259,5360,0,5280,5280,5280,5280,69,119,14,1,0,1637182,1687182,50000,0
13991206,فاراك,6781507600,1289260,9259259,5350,0,5260,5260,5260,5260,69,126,9,1,1,1229260,1089260,60000,200000
13991209,فاراك,3065527500,583910,9345794,5340,0,5250,5250,5250,5250,68,94,12,1,0,573910,583910,10000,0
13991210,فاراك,1299797720,248053,9345794,5340,0,5240,5240,5240,5240,68,52,2,1,0,198053,248053,50000,0
13991211,فاراك,5053712760,964449,6172840,5330,0,5240,5240,5240,5240,,82,9,0,0,964449,964449,0,0
13991212,فاراك,3783889310,723497,9345794,5320,0,5230,5230,5230,5230,68,90,7,2,0,650497,723497,73000,0
13991213,فاراك,2730947400,523170,9345794,5310,0,5220,5220,5220,5220,68,69,3,1,0,513170,523170,10000,0
13991216,فاراك,1644750110,315691,9416196,5310,0,5210,5210,5210,5210,68,72,5,1,0,295691,315691,20000,0
13991217,فاراك,3413633680,655208,9416196,5300,0,5210,5210,5210,5210,68,72,5,1,1,635208,455208,20000,200000
13991218,فاراك,9703631600,1866083,6172840,5280,0,5200,5200,5200,5200,,146,16,1,0,1846083,1866083,20000,0
13991219,فاراك,1.39E+11,26789870,9416196,5190,-2,5180,5270,5180,5180,67,793,1315,2,2,16569870,26481870,10220000,308000
13991224,فاراك,1.65E+11,33102667,9823183,4980,0,4930,5110,4910,4940,64,1567,1573,4,4,32053396,31667563,1049271,1435104
13991225,فاراك,1.65E+11,33181259,9823183,4970,0,4910,5080,4900,4930,64,1346,1205,2,7,29119719,27152591,4061540,6028668
14000111,فاراك,1.05945E+11,41366108,19531250,2560,17,2460,2600,2460,2600,75,147,723,1,5,41363308,31391108,2800,9975000
14000114,فاراك,5.58E+11,207903912,19531250,2690,5,2710,2710,2570,2640,79,4544,3095,4,12,205491494,193354680,2412418,14549232
14000115,فاراك,16111737840,6102931,19531250,2670,-1,2640,2640,2640,2640,79,283,88,3,1,2892931,5903931,3210000,199000
14000116,فاراك,7107281860,2712703,19531250,2660,0,2620,2620,2620,2620,78,176,18,2,0,1662703,2712703,1050000,0
14000117,فاراك,82106995360,31352817,19531250,2620,-2,2610,2690,2610,2610,77,541,645,3,2,30153385,31264507,1199432,88310
14000118,فاراك,16041235820,6241726,19531250,2600,-1,2570,2570,2570,2570,76,137,193,3,0,5196433,6241726,1045293,0
14000121,فاراك,1265169750,496145,19230769,2600,0,2550,2550,2550,2550,76,51,2,1,0,486145,496145,10000,0
14000123,فاراك,1038010650,407063,19230769,2600,0,2550,2550,2550,2550,76,55,3,1,0,397063,407063,10000,0
14000125,فاراك,1.06472E+11,43748763,19230769,2430,-7,2470,2480,2430,2430,71,795,565,3,1,43577576,43743763,171187,5000
14000128,فاراك,1377794370,576483,20576132,2430,0,2390,2390,2390,2390,71,66,4,0,0,576483,576483,0,0
14000130,فاراك,1317336930,551187,20576132,2430,0,2390,2390,2390,2390,71,59,2,0,0,551187,551187,0,0
